,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,Child_elder,Age_bin,Pclass*Sex,Pclass*Embarked,Pclass*Title,Pclass*Child_elder,Pclass*Age_bin,Sex*Embarked,Sex*Title,Sex*Child_elder,Sex*Age_bin,Embarked*Title,Embarked*Child_elder,Embarked*Age_bin,Title*Child_elder,Title*Age_bin,Child_elder*Age_bin,Pclass*Pclass,Pclass*Age,Pclass+Age,Pclass-Age,Pclass*Fare,Pclass+Fare,Pclass-Fare,Pclass*Parch,Pclass+Parch,Pclass-Parch,Age-Pclass,Age*Age,Age*Fare,Age+Fare,Age-Fare,Age*Parch,Age+Parch,Age-Parch,Fare-Pclass,Fare-Age,Fare*Fare,Fare*Parch,Fare+Parch,Fare-Parch,Parch-Pclass,Parch-Age,Parch-Fare,Parch*Parch
10,1.0,3,1,4.0,1,1,16.7,0,2,1,3,2,0,2,2,4,2,2,3,7,2,3,5,4,9,3,9,12.0,7.0,-1.0,50.099999999999994,19.7,-13.7,3,4,2,1.0,16.0,66.8,20.7,-12.7,4.0,5.0,3.0,13.7,12.7,278.89,16.7,17.7,15.7,-2,-3.0,-15.7,1
11,1.0,1,1,58.0,0,0,26.55,0,2,0,1,1,2,7,1,1,2,2,1,1,2,0,4,2,10,1,1,58.0,59.0,-57.0,26.55,27.55,-25.55,0,1,1,57.0,3364.0,1539.9,84.55,31.45,0.0,58.0,58.0,25.55,-31.45,704.9025,0.0,26.55,26.55,-1,-58.0,-26.55,0
12,0.0,3,0,20.0,0,0,8.05,0,0,0,3,0,0,0,0,4,0,0,0,6,0,0,5,0,11,4,9,60.0,23.0,-17.0,24.150000000000002,11.05,-5.050000000000001,0,3,3,17.0,400.0,161.0,28.05,11.95,0.0,20.0,20.0,5.050000000000001,-11.95,64.80250000000001,0.0,8.05,8.05,-3,-20.0,-8.05,0
13,0.0,3,0,39.0,1,5,31.275,0,0,0,1,0,0,0,0,6,0,0,0,5,0,0,4,0,5,1,9,117.0,42.0,-36.0,93.82499999999999,34.275,-28.275,15,8,-2,36.0,1521.0,1219.725,70.275,7.725000000000001,195.0,44.0,34.0,28.275,-7.725000000000001,978.1256249999999,156.375,36.275,26.275,2,-34.0,-26.275,25
14,0.0,3,1,14.0,0,0,7.8542,0,2,0,3,2,0,2,0,4,2,2,1,7,2,0,5,2,9,4,9,42.0,17.0,-11.0,23.5626,10.854199999999999,-4.8542,0,3,3,11.0,196.0,109.9588,21.8542,6.1458,0.0,14.0,14.0,4.8542,-6.1458,61.688457639999996,0.0,7.8542,7.8542,-3,-14.0,-7.8542,0
15,1.0,2,1,55.0,0,0,16.0,0,1,0,1,4,5,6,3,7,2,1,1,1,3,0,4,1,1,1,4,110.0,57.0,-53.0,32.0,18.0,-14.0,0,2,2,53.0,3025.0,880.0,71.0,39.0,0.0,55.0,55.0,14.0,-39.0,256.0,0.0,16.0,16.0,-2,-55.0,-16.0,0
16,0.0,3,0,2.0,4,1,29.125,2,3,1,3,0,3,4,2,4,3,3,2,6,6,4,7,3,6,3,9,6.0,5.0,1.0,87.375,32.125,-26.125,3,4,2,-1.0,4.0,58.25,31.125,-27.125,2.0,3.0,1.0,26.125,27.125,848.265625,29.125,30.125,28.125,-2,-1.0,-28.125,1
17,1.0,2,0,30.0,0,0,13.0,0,0,0,2,5,5,8,3,8,0,0,0,4,0,0,2,0,4,2,4,60.0,32.0,-28.0,26.0,15.0,-11.0,0,2,2,28.0,900.0,390.0,43.0,17.0,0.0,30.0,30.0,11.0,-17.0,169.0,0.0,13.0,13.0,-2,-30.0,-13.0,0
18,0.0,3,1,31.0,1,0,18.0,0,1,0,2,2,0,5,0,3,2,1,1,3,3,0,2,1,3,2,9,93.0,34.0,-28.0,54.0,21.0,-15.0,0,3,3,28.0,961.0,558.0,49.0,13.0,0.0,31.0,31.0,15.0,-13.0,324.0,0.0,18.0,18.0,-3,-31.0,-18.0,0
19,1.0,3,1,45.0,0,0,7.225,1,1,0,1,2,6,5,0,6,1,1,1,1,1,1,1,1,1,1,9,135.0,48.0,-42.0,21.674999999999997,10.225,-4.225,0,3,3,42.0,2025.0,325.125,52.225,37.775,0.0,45.0,45.0,4.225,-37.775,52.200624999999995,0.0,7.225,7.225,-3,-45.0,-7.225,0
20,0.0,2,0,35.0,0,0,26.0,0,0,0,2,5,5,8,3,8,0,0,0,4,0,0,2,0,4,2,4,70.0,37.0,-33.0,52.0,28.0,-24.0,0,2,2,33.0,1225.0,910.0,61.0,9.0,0.0,35.0,35.0,24.0,-9.0,676.0,0.0,26.0,26.0,-2,-35.0,-26.0,0
21,1.0,2,0,34.0,0,0,13.0,0,0,0,2,5,5,8,3,8,0,0,0,4,0,0,2,0,4,2,4,68.0,36.0,-32.0,26.0,15.0,-11.0,0,2,2,32.0,1156.0,442.0,47.0,21.0,0.0,34.0,34.0,11.0,-21.0,169.0,0.0,13.0,13.0,-2,-34.0,-13.0,0
22,1.0,3,1,15.0,0,0,8.0292,2,2,0,3,2,3,2,0,4,4,2,1,7,7,2,7,2,9,4,9,45.0,18.0,-12.0,24.0876,11.0292,-5.0291999999999994,0,3,3,12.0,225.0,120.43799999999999,23.0292,6.9708000000000006,0.0,15.0,15.0,5.0291999999999994,-6.9708000000000006,64.46805264,0.0,8.0292,8.0292,-3,-15.0,-8.0292,0
23,1.0,1,0,28.0,0,0,35.5,0,0,0,2,3,2,3,1,2,0,0,0,4,0,0,2,0,4,2,1,28.0,29.0,-27.0,35.5,36.5,-34.5,0,1,1,27.0,784.0,994.0,63.5,-7.5,0.0,28.0,28.0,34.5,7.5,1260.25,0.0,35.5,35.5,-1,-28.0,-35.5,0
24,0.0,3,1,8.0,3,1,21.075,0,2,1,3,2,0,2,2,4,2,2,3,7,2,3,5,4,9,3,9,24.0,11.0,-5.0,63.224999999999994,24.075,-18.075,3,4,2,5.0,64.0,168.6,29.075,-13.075,8.0,9.0,7.0,18.075,13.075,444.155625,21.075,22.075,20.075,-2,-7.0,-20.075,1
25,1.0,3,1,38.0,1,5,31.3875,0,1,0,1,2,0,5,0,6,2,1,1,1,3,0,4,1,1,1,9,114.0,41.0,-35.0,94.1625,34.3875,-28.3875,15,8,-2,35.0,1444.0,1192.725,69.3875,6.612500000000001,190.0,43.0,33.0,28.3875,-6.612500000000001,985.17515625,156.9375,36.3875,26.3875,2,-33.0,-26.3875,25
26,0.0,3,0,22.0,0,0,7.225,1,0,0,0,0,6,0,0,0,5,0,0,0,8,1,8,0,0,0,9,66.0,25.0,-19.0,21.674999999999997,10.225,-4.225,0,3,3,19.0,484.0,158.95,29.225,14.775,0.0,22.0,22.0,4.225,-14.775,52.200624999999995,0.0,7.225,7.225,-3,-22.0,-7.225,0
27,0.0,1,0,19.0,3,2,263.0,0,0,0,3,3,2,3,1,9,0,0,0,6,0,0,5,0,11,4,1,19.0,20.0,-18.0,263.0,264.0,-262.0,2,3,-1,18.0,361.0,4997.0,282.0,-244.0,38.0,21.0,17.0,262.0,244.0,69169.0,526.0,265.0,261.0,1,-17.0,-261.0,4
28,1.0,3,1,19.0,0,0,7.8792,2,2,0,3,2,3,2,0,4,4,2,1,7,7,2,7,2,9,4,9,57.0,22.0,-16.0,23.6376,10.8792,-4.8792,0,3,3,16.0,361.0,149.7048,26.8792,11.1208,0.0,19.0,19.0,4.8792,-11.1208,62.081792639999996,0.0,7.8792,7.8792,-3,-19.0,-7.8792,0
29,0.0,3,0,19.0,0,0,7.8958,0,0,0,3,0,0,0,0,4,0,0,0,6,0,0,5,0,11,4,9,57.0,22.0,-16.0,23.6874,10.895800000000001,-4.8958,0,3,3,16.0,361.0,150.02020000000002,26.8958,11.104199999999999,0.0,19.0,19.0,4.8958,-11.104199999999999,62.34365764,0.0,7.8958,7.8958,-3,-19.0,-7.8958,0
30,0.0,1,0,40.0,0,0,27.7208,1,4,0,1,3,1,9,1,1,5,4,0,5,9,1,1,5,12,1,1,40.0,41.0,-39.0,27.7208,28.7208,-26.7208,0,1,1,39.0,1600.0,1108.832,67.7208,12.2792,0.0,40.0,40.0,26.7208,-12.2792,768.44275264,0.0,27.7208,27.7208,-1,-40.0,-27.7208,0
31,1.0,1,1,26.0,1,0,146.5208,1,1,0,0,1,1,1,1,10,1,1,1,2,1,1,8,1,7,0,1,26.0,27.0,-25.0,146.5208,147.5208,-145.5208,0,1,1,25.0,676.0,3809.5408,172.5208,-120.52080000000001,0.0,26.0,26.0,145.5208,120.52080000000001,21468.344832640003,0.0,146.5208,146.5208,-1,-26.0,-146.5208,0
32,1.0,3,1,24.0,0,0,7.75,2,2,0,0,2,3,2,0,0,4,2,1,2,7,2,3,2,2,0,9,72.0,27.0,-21.0,23.25,10.75,-4.75,0,3,3,21.0,576.0,186.0,31.75,16.25,0.0,24.0,24.0,4.75,-16.25,60.0625,0.0,7.75,7.75,-3,-24.0,-7.75,0
33,0.0,2,0,66.0,0,0,10.5,0,0,2,1,5,5,8,4,7,0,0,4,5,0,5,4,6,5,5,4,132.0,68.0,-64.0,21.0,12.5,-8.5,0,2,2,64.0,4356.0,693.0,76.5,55.5,0.0,66.0,66.0,8.5,-55.5,110.25,0.0,10.5,10.5,-2,-66.0,-10.5,0
34,0.0,1,0,28.0,1,0,82.1708,1,0,0,2,3,1,3,1,2,5,0,0,4,8,1,9,0,4,2,1,28.0,29.0,-27.0,82.1708,83.1708,-81.1708,0,1,1,27.0,784.0,2300.7824,110.1708,-54.1708,0.0,28.0,28.0,81.1708,54.1708,6752.04037264,0.0,82.1708,82.1708,-1,-28.0,-82.1708,0
35,0.0,1,0,42.0,1,0,52.0,0,0,0,1,3,2,3,1,1,0,0,0,5,0,0,4,0,5,1,1,42.0,43.0,-41.0,52.0,53.0,-51.0,0,1,1,41.0,1764.0,2184.0,94.0,-10.0,0.0,42.0,42.0,51.0,10.0,2704.0,0.0,52.0,52.0,-1,-42.0,-52.0,0
36,1.0,3,0,22.0,0,0,7.2292,1,0,0,0,0,6,0,0,0,5,0,0,0,8,1,8,0,0,0,9,66.0,25.0,-19.0,21.6876,10.229199999999999,-4.2292,0,3,3,19.0,484.0,159.0424,29.2292,14.770800000000001,0.0,22.0,22.0,4.2292,-14.770800000000001,52.26133263999999,0.0,7.2292,7.2292,-3,-22.0,-7.2292,0
37,0.0,3,0,21.0,0,0,8.05,0,0,0,3,0,0,0,0,4,0,0,0,6,0,0,5,0,11,4,9,63.0,24.0,-18.0,24.150000000000002,11.05,-5.050000000000001,0,3,3,18.0,441.0,169.05,29.05,12.95,0.0,21.0,21.0,5.050000000000001,-12.95,64.80250000000001,0.0,8.05,8.05,-3,-21.0,-8.05,0
38,0.0,3,1,18.0,2,0,18.0,0,2,0,3,2,0,2,0,4,2,2,1,7,2,0,5,2,9,4,9,54.0,21.0,-15.0,54.0,21.0,-15.0,0,3,3,15.0,324.0,324.0,36.0,0.0,0.0,18.0,18.0,15.0,0.0,324.0,0.0,18.0,18.0,-3,-18.0,-18.0,0
39,1.0,3,1,14.0,1,0,11.2417,1,2,0,3,2,6,2,0,4,1,2,1,7,10,1,6,2,9,4,9,42.0,17.0,-11.0,33.7251,14.2417,-8.2417,0,3,3,11.0,196.0,157.3838,25.2417,2.7583,0.0,14.0,14.0,8.2417,-2.7583,126.37581888999999,0.0,11.2417,11.2417,-3,-14.0,-11.2417,0
40,0.0,3,1,40.0,1,0,9.475,0,1,0,1,2,0,5,0,6,2,1,1,1,3,0,4,1,1,1,9,120.0,43.0,-37.0,28.424999999999997,12.475,-6.475,0,3,3,37.0,1600.0,379.0,49.475,30.525,0.0,40.0,40.0,6.475,-30.525,89.77562499999999,0.0,9.475,9.475,-3,-40.0,-9.475,0
41,0.0,2,1,27.0,1,0,21.0,0,1,0,0,4,5,6,3,11,2,1,1,2,3,0,0,1,7,0,4,54.0,29.0,-25.0,42.0,23.0,-19.0,0,2,2,25.0,729.0,567.0,48.0,6.0,0.0,27.0,27.0,19.0,-6.0,441.0,0.0,21.0,21.0,-2,-27.0,-21.0,0
42,0.0,3,0,33.0,0,0,7.8958,1,0,0,2,0,6,0,0,3,5,0,0,4,8,1,9,0,4,2,9,99.0,36.0,-30.0,23.6874,10.895800000000001,-4.8958,0,3,3,30.0,1089.0,260.5614,40.8958,25.1042,0.0,33.0,33.0,4.8958,-25.1042,62.34365764,0.0,7.8958,7.8958,-3,-33.0,-7.8958,0
43,1.0,2,1,3.0,1,2,41.5792,1,2,1,3,4,4,10,5,5,1,2,3,7,10,6,6,4,9,3,4,6.0,5.0,-1.0,83.1584,43.5792,-39.5792,4,4,0,1.0,9.0,124.7376,44.5792,-38.5792,6.0,5.0,1.0,39.5792,38.5792,1728.82987264,83.1584,43.5792,39.5792,0,-1.0,-39.5792,4
44,1.0,3,1,19.0,0,0,7.8792,2,2,0,3,2,3,2,0,4,4,2,1,7,7,2,7,2,9,4,9,57.0,22.0,-16.0,23.6376,10.8792,-4.8792,0,3,3,16.0,361.0,149.7048,26.8792,11.1208,0.0,19.0,19.0,4.8792,-11.1208,62.081792639999996,0.0,7.8792,7.8792,-3,-19.0,-7.8792,0
45,0.0,3,0,21.0,0,0,8.05,0,0,0,3,0,0,0,0,4,0,0,0,6,0,0,5,0,11,4,9,63.0,24.0,-18.0,24.150000000000002,11.05,-5.050000000000001,0,3,3,18.0,441.0,169.05,29.05,12.95,0.0,21.0,21.0,5.050000000000001,-12.95,64.80250000000001,0.0,8.05,8.05,-3,-21.0,-8.05,0
46,0.0,3,0,26.0,1,0,15.5,2,0,0,0,0,3,0,0,0,3,0,0,0,4,2,3,0,0,0,9,78.0,29.0,-23.0,46.5,18.5,-12.5,0,3,3,23.0,676.0,403.0,41.5,10.5,0.0,26.0,26.0,12.5,-10.5,240.25,0.0,15.5,15.5,-3,-26.0,-15.5,0
47,1.0,3,1,24.0,0,0,7.75,2,2,0,0,2,3,2,0,0,4,2,1,2,7,2,3,2,2,0,9,72.0,27.0,-21.0,23.25,10.75,-4.75,0,3,3,21.0,576.0,186.0,31.75,16.25,0.0,24.0,24.0,4.75,-16.25,60.0625,0.0,7.75,7.75,-3,-24.0,-7.75,0
48,0.0,3,0,24.0,2,0,21.6792,1,0,0,0,0,6,0,0,0,5,0,0,0,8,1,8,0,0,0,9,72.0,27.0,-21.0,65.0376,24.6792,-18.6792,0,3,3,21.0,576.0,520.3008,45.6792,2.3207999999999984,0.0,24.0,24.0,18.6792,-2.3207999999999984,469.98771264000004,0.0,21.6792,21.6792,-3,-24.0,-21.6792,0
49,0.0,3,1,18.0,1,0,17.8,0,1,0,3,2,0,5,0,4,2,1,1,7,3,0,5,1,8,4,9,54.0,21.0,-15.0,53.400000000000006,20.8,-14.8,0,3,3,15.0,324.0,320.40000000000003,35.8,0.1999999999999993,0.0,18.0,18.0,14.8,-0.1999999999999993,316.84000000000003,0.0,17.8,17.8,-3,-18.0,-17.8,0
50,0.0,3,0,7.0,4,1,39.6875,0,3,1,3,0,0,4,2,4,0,3,2,6,5,3,5,3,6,3,9,21.0,10.0,-4.0,119.0625,42.6875,-36.6875,3,4,2,4.0,49.0,277.8125,46.6875,-32.6875,7.0,8.0,6.0,36.6875,32.6875,1575.09765625,39.6875,40.6875,38.6875,-2,-6.0,-38.6875,1
51,0.0,3,0,21.0,0,0,7.8,0,0,0,3,0,0,0,0,4,0,0,0,6,0,0,5,0,11,4,9,63.0,24.0,-18.0,23.4,10.8,-4.8,0,3,3,18.0,441.0,163.79999999999998,28.8,13.2,0.0,21.0,21.0,4.8,-13.2,60.839999999999996,0.0,7.8,7.8,-3,-21.0,-7.8,0
52,1.0,1,1,49.0,1,0,76.7292,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49.0,50.0,-48.0,76.7292,77.7292,-75.7292,0,1,1,48.0,2401.0,3759.7308000000003,125.7292,-27.729200000000006,0.0,49.0,49.0,75.7292,27.729200000000006,5887.3701326400005,0.0,76.7292,76.7292,-1,-49.0,-76.7292,0
53,1.0,2,1,29.0,1,0,26.0,0,1,0,2,4,5,6,3,8,2,1,1,3,3,0,2,1,3,2,4,58.0,31.0,-27.0,52.0,28.0,-24.0,0,2,2,27.0,841.0,754.0,55.0,3.0,0.0,29.0,29.0,24.0,-3.0,676.0,0.0,26.0,26.0,-2,-29.0,-26.0,0
54,0.0,1,0,65.0,0,1,61.9792,1,0,2,1,3,1,3,6,1,5,0,4,5,8,7,1,6,5,5,1,65.0,66.0,-64.0,61.9792,62.9792,-60.9792,1,2,0,64.0,4225.0,4028.648,126.97919999999999,3.0208000000000013,65.0,66.0,64.0,60.9792,-3.0208000000000013,3841.4212326399997,61.9792,62.9792,60.9792,0,-64.0,-60.9792,1
55,1.0,1,0,45.0,0,0,35.5,0,0,0,1,3,2,3,1,1,0,0,0,5,0,0,4,0,5,1,1,45.0,46.0,-44.0,35.5,36.5,-34.5,0,1,1,44.0,2025.0,1597.5,80.5,9.5,0.0,45.0,45.0,34.5,-9.5,1260.25,0.0,35.5,35.5,-1,-45.0,-35.5,0
56,1.0,2,1,21.0,0,0,10.5,0,2,0,3,4,5,10,3,5,2,2,1,7,2,0,5,2,9,4,4,42.0,23.0,-19.0,21.0,12.5,-8.5,0,2,2,19.0,441.0,220.5,31.5,10.5,0.0,21.0,21.0,8.5,-10.5,110.25,0.0,10.5,10.5,-2,-21.0,-10.5,0
57,0.0,3,0,28.5,0,0,7.2292,1,0,0,2,0,6,0,0,3,5,0,0,4,8,1,9,0,4,2,9,85.5,31.5,-25.5,21.6876,10.229199999999999,-4.2292,0,3,3,25.5,812.25,206.0322,35.7292,21.2708,0.0,28.5,28.5,4.2292,-21.2708,52.26133263999999,0.0,7.2292,7.2292,-3,-28.5,-7.2292,0
58,1.0,2,1,5.0,1,2,27.75,0,2,1,3,4,5,10,5,5,2,2,3,7,2,3,5,4,9,3,4,10.0,7.0,-3.0,55.5,29.75,-25.75,4,4,0,3.0,25.0,138.75,32.75,-22.75,10.0,7.0,3.0,25.75,22.75,770.0625,55.5,29.75,25.75,0,-3.0,-25.75,4
59,0.0,3,0,11.0,5,2,46.9,0,3,1,3,0,0,4,2,4,0,3,2,6,5,3,5,3,6,3,9,33.0,14.0,-8.0,140.7,49.9,-43.9,6,5,1,8.0,121.0,515.9,57.9,-35.9,22.0,13.0,9.0,43.9,35.9,2199.6099999999997,93.8,48.9,44.9,-1,-9.0,-44.9,4
60,0.0,3,0,22.0,0,0,7.2292,1,0,0,0,0,6,0,0,0,5,0,0,0,8,1,8,0,0,0,9,66.0,25.0,-19.0,21.6876,10.229199999999999,-4.2292,0,3,3,19.0,484.0,159.0424,29.2292,14.770800000000001,0.0,22.0,22.0,4.2292,-14.770800000000001,52.26133263999999,0.0,7.2292,7.2292,-3,-22.0,-7.2292,0
61,1.0,1,1,38.0,0,0,80.0,-1,2,0,1,1,7,7,1,1,6,2,1,1,11,8,10,2,10,1,1,38.0,39.0,-37.0,80.0,81.0,-79.0,0,1,1,37.0,1444.0,3040.0,118.0,-42.0,0.0,38.0,38.0,79.0,42.0,6400.0,0.0,80.0,80.0,-1,-38.0,-80.0,0
62,0.0,1,0,45.0,1,0,83.475,0,0,0,1,3,2,3,1,1,0,0,0,5,0,0,4,0,5,1,1,45.0,46.0,-44.0,83.475,84.475,-82.475,0,1,1,44.0,2025.0,3756.3749999999995,128.475,-38.474999999999994,0.0,45.0,45.0,82.475,38.474999999999994,6968.0756249999995,0.0,83.475,83.475,-1,-45.0,-83.475,0
63,0.0,3,0,4.0,3,2,27.9,0,3,1,3,0,0,4,2,4,0,3,2,6,5,3,5,3,6,3,9,12.0,7.0,-1.0,83.69999999999999,30.9,-24.9,6,5,1,1.0,16.0,111.6,31.9,-23.9,8.0,6.0,2.0,24.9,23.9,778.41,55.8,29.9,25.9,-1,-2.0,-25.9,4
64,0.0,1,0,28.5,0,0,27.7208,1,0,0,2,3,1,3,1,2,5,0,0,4,8,1,9,0,4,2,1,28.5,29.5,-27.5,27.7208,28.7208,-26.7208,0,1,1,27.5,812.25,790.0428,56.2208,0.7791999999999994,0.0,28.5,28.5,26.7208,-0.7791999999999994,768.44275264,0.0,27.7208,27.7208,-1,-28.5,-27.7208,0
65,1.0,3,0,6.0,1,1,15.2458,1,3,1,3,0,6,4,2,4,5,3,2,6,12,6,6,3,6,3,9,18.0,9.0,-3.0,45.737399999999994,18.2458,-12.2458,3,4,2,3.0,36.0,91.47479999999999,21.2458,-9.2458,6.0,7.0,5.0,12.2458,9.2458,232.43441763999996,15.2458,16.2458,14.2458,-2,-5.0,-14.2458,1
66,1.0,2,1,29.0,0,0,10.5,0,1,0,2,4,5,6,3,8,2,1,1,3,3,0,2,1,3,2,4,58.0,31.0,-27.0,21.0,12.5,-8.5,0,2,2,27.0,841.0,304.5,39.5,18.5,0.0,29.0,29.0,8.5,-18.5,110.25,0.0,10.5,10.5,-2,-29.0,-10.5,0
67,0.0,3,0,19.0,0,0,8.1583,0,0,0,3,0,0,0,0,4,0,0,0,6,0,0,5,0,11,4,9,57.0,22.0,-16.0,24.4749,11.1583,-5.1583000000000006,0,3,3,16.0,361.0,155.0077,27.1583,10.8417,0.0,19.0,19.0,5.1583000000000006,-10.8417,66.55785889,0.0,8.1583,8.1583,-3,-19.0,-8.1583,0
68,1.0,3,1,17.0,4,2,7.925,0,2,0,3,2,0,2,0,4,2,2,1,7,2,0,5,2,9,4,9,51.0,20.0,-14.0,23.775,10.925,-4.925,6,5,1,14.0,289.0,134.725,24.925,9.075,34.0,19.0,15.0,4.925,-9.075,62.805625,15.85,9.925,5.925,-1,-15.0,-5.925,4
69,0.0,3,0,26.0,2,0,8.6625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,78.0,29.0,-23.0,25.987499999999997,11.6625,-5.6625,0,3,3,23.0,676.0,225.225,34.6625,17.3375,0.0,26.0,26.0,5.6625,-17.3375,75.03890625,0.0,8.6625,8.6625,-3,-26.0,-8.6625,0
70,0.0,2,0,32.0,0,0,10.5,0,0,0,2,5,5,8,3,8,0,0,0,4,0,0,2,0,4,2,4,64.0,34.0,-30.0,21.0,12.5,-8.5,0,2,2,30.0,1024.0,336.0,42.5,21.5,0.0,32.0,32.0,8.5,-21.5,110.25,0.0,10.5,10.5,-2,-32.0,-10.5,0
71,0.0,3,1,16.0,5,2,46.9,0,2,0,3,2,0,2,0,4,2,2,1,7,2,0,5,2,9,4,9,48.0,19.0,-13.0,140.7,49.9,-43.9,6,5,1,13.0,256.0,750.4,62.9,-30.9,32.0,18.0,14.0,43.9,30.9,2199.6099999999997,93.8,48.9,44.9,-1,-14.0,-44.9,4
72,0.0,2,0,21.0,0,0,73.5,0,0,0,3,5,5,8,3,5,0,0,0,6,0,0,5,0,11,4,4,42.0,23.0,-19.0,147.0,75.5,-71.5,0,2,2,19.0,441.0,1543.5,94.5,-52.5,0.0,21.0,21.0,71.5,52.5,5402.25,0.0,73.5,73.5,-2,-21.0,-73.5,0
73,0.0,3,0,26.0,1,0,14.4542,1,0,0,0,0,6,0,0,0,5,0,0,0,8,1,8,0,0,0,9,78.0,29.0,-23.0,43.3626,17.4542,-11.4542,0,3,3,23.0,676.0,375.80920000000003,40.4542,11.5458,0.0,26.0,26.0,11.4542,-11.5458,208.92389764,0.0,14.4542,14.4542,-3,-26.0,-14.4542,0
